ID,Timestamp,Days,Hours,Minutes,RawData
C1,1,0,0,0,###C1#T0#S2_4.11#T1#S3_0.0#T2#S1_0.29_A11#T3#S1_0.09_A11#T4#S1_0.00_A11#T5#S1_0.11_A11#T6#S1_0.00_A11#E#
C1,301,0,0,5,###C1#T0#S2_4.11#T1#S3_28.3#T2#S1_0.14_A11#T3#S1_0.05_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,601,0,0,10,###C1#T0#S2_4.11#T1#S3_28.3#T2#S1_0.05_A11#T3#S1_0.02_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,901,0,0,15,###C1#T0#S2_4.11#T1#S3_28.0#T2#S1_0.02_A11#T3#S1_0.01_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,1201,0,0,20,###C1#T0#S2_4.11#T1#S3_27.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,1501,0,0,25,###C1#T0#S2_4.11#T1#S3_27.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,1801,0,0,30,###C1#T0#S2_4.11#T1#S3_27.0#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2101,0,0,35,###C1#T0#S2_4.11#T1#S3_26.8#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2401,0,0,40,###C1#T0#S2_4.11#T1#S3_26.5#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2701,0,0,45,###C1#T0#S2_4.11#T1#S3_26.5#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
